,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
78,2.015541632,-0.008793775,-2.213076081,0.008514312,-1.2237137,-0.008793775
79,2.002437231,-0.008819007,-2.236305783,0.008360081,-1.229384655,-0.008819007
80,2.036035157,-0.008880156,-2.206513373,0.008522619,-1.226895194,-0.008880156
81,2.015560417,-0.008804638,-2.255175616,0.008449811,-1.218610798,-0.008804638
82,2.010373528,-0.008735997,-2.191399527,0.008623265,-1.22297746,-0.008735997
83,2.008609935,-0.008899072,-2.225832201,0.008489924,-1.227348974,-0.008899072
84,2.052448569,-0.008918574,-2.221186452,0.008553429,-1.218816118,-0.008918574
85,2.032027944,-0.008876031,-2.214348951,0.00856314,-1.248865706,-0.008876031
86,2.045070614,-0.008847015,-2.234644823,0.008354807,-1.208187622,-0.008847015
87,2.02827442,-0.008929256,-2.239366151,0.008529208,-1.237979534,-0.008929256
88,2.062816857,-0.008959075,-2.229277923,0.008487885,-1.254479315,-0.008959075
89,2.021526797,-0.008806483,-2.19769241,0.008473057,-1.22830437,-0.008806483
90,1.985148238,-0.008881906,-2.242065819,0.008482982,-1.229304925,-0.008881906
91,2.027546625,-0.00888896,-2.188190377,0.008551629,-1.218405566,-0.00888896
92,2.023534888,-0.008900494,-2.20137535,0.008461062,-1.209078846,-0.008900494
93,2.004903969,-0.008823818,-2.163779946,0.008363114,-1.216894441,-0.008823818
94,2.00890075,-0.008950772,-2.204923704,0.008407858,-1.223941099,-0.008950772
95,2.020784294,-0.008803933,-2.233566219,0.008292032,-1.230342424,-0.008803933
96,2.015591291,-0.008930992,-2.209914435,0.008552971,-1.243884308,-0.008930992
97,2.039012153,-0.00889416,-2.195570906,0.008371764,-1.23550508,-0.00889416
98,2.031240061,-0.008935849,-2.179541923,0.00843821,-1.236950119,-0.008935849
99,2.027695101,-0.008769469,-2.197327528,0.008471925,-1.222407527,-0.008769469
100,2.009136976,-0.008841999,-2.231724898,0.008331261,-1.238059235,-0.008841999
101,2.047154189,-0.009004453,-2.232517549,0.008314602,-1.249377104,-0.009004453
102,2.044653332,-0.008927371,-2.187427911,0.00851664,-1.209164412,-0.008927371
103,2.024422104,-0.008892251,-2.230841602,0.008476775,-1.227635983,-0.008892251
104,2.036537224,-0.008824927,-2.21275222,0.008367903,-1.231437857,-0.008824927
105,2.004481392,-0.008826293,-2.211994492,0.008403551,-1.248938681,-0.008826293
106,2.024632698,-0.008871104,-2.229640835,0.008466148,-1.242787189,-0.008871104
107,1.989246996,-0.008829111,-2.197086535,0.008415903,-1.233318945,-0.008829111
108,2.031436812,-0.00897051,-2.198807633,0.008423874,-1.240772171,-0.00897051
109,2.032110944,-0.008758947,-2.200921169,0.008454173,-1.22423524,-0.008758947
110,1.971597353,-0.008847437,-2.22562966,0.008347613,-1.236919384,-0.008847437
111,2.02910304,-0.009009978,-2.241554472,0.008321196,-1.225617372,-0.009009978
112,2.027265104,-0.009069717,-2.232812692,0.008502282,-1.239113414,-0.009069717
113,2.016846399,-0.008748128,-2.258907857,0.008304193,-1.232237393,-0.008748128
114,2.016880823,-0.008986456,-2.227123698,0.008369369,-1.217286053,-0.008986456
115,2.014228978,-0.008898459,-2.236470294,0.008477958,-1.215815348,-0.008898459
116,2.005281271,-0.00878623,-2.221721883,0.008585526,-1.233694237,-0.00878623
117,2.01429143,-0.009070401,-2.229137019,0.00823891,-1.23579672,-0.009070401
118,2.038801063,-0.008674145,-2.250535487,0.008373482,-1.226131619,-0.008674145
119,2.040817038,-0.008916576,-2.210933459,0.008627123,-1.237536568,-0.008916576
120,2.014952676,-0.008795538,-2.203259052,0.008323767,-1.230849646,-0.008795538
121,2.021169081,-0.008887905,-2.251712691,0.008304984,-1.242144117,-0.008887905
122,2.032515274,-0.008905046,-2.282575271,0.008286304,-1.240573608,-0.008905046
123,2.018391391,-0.008937188,-2.214183741,0.008361958,-1.213053299,-0.008937188
