,irs_decay_mort1,irs_decay_mort2,irs_decay_succ1,irs_decay_succ2,irs_decay_det1,irs_decay_det2
28,1.200334476,-0.024305915,-1.277895493,0.021385616,-1.688015449,-0.024305915
29,1.282273553,-0.025568555,-1.065525991,0.017112134,-1.721682572,-0.025568555
30,1.146631095,-0.025889359,-1.39379364,0.018298343,-1.628072786,-0.025889359
31,1.153016581,-0.023528096,-1.357686676,0.020543939,-1.660821931,-0.023528096
32,1.185357979,-0.023136593,-1.232641427,0.019662797,-1.711267571,-0.023136593
33,1.158969326,-0.024640619,-1.229794123,0.020299824,-1.699746471,-0.024640619
34,1.057715066,-0.023204987,-1.304838517,0.0200607,-1.728462118,-0.023204987
35,1.007806136,-0.023847088,-1.243341757,0.01838818,-1.669989743,-0.023847088
36,1.123675658,-0.021307617,-1.347120239,0.020469553,-1.631495164,-0.021307617
37,1.141587144,-0.023469073,-1.276680007,0.017929795,-1.655301486,-0.023469073
38,0.915555923,-0.023660044,-1.319286618,0.020368448,-1.726191777,-0.023660044
39,1.124837914,-0.025068344,-1.091820148,0.019575648,-1.514693047,-0.025068344
40,1.059895257,-0.024267272,-1.248956874,0.020389098,-1.618687745,-0.024267272
41,1.237974823,-0.025724559,-1.139586935,0.019183384,-1.653826258,-0.025724559
42,1.185315105,-0.024958827,-1.231814783,0.018929982,-1.618106719,-0.024958827
43,1.058357396,-0.023978667,-1.180178911,0.018736234,-1.720514626,-0.023978667
44,1.096622404,-0.024411974,-1.181933029,0.019000004,-1.675687482,-0.024411974
45,1.109199471,-0.024029391,-1.473646697,0.020165999,-1.751270608,-0.024029391
46,0.953300348,-0.027506606,-1.334084276,0.020560945,-1.711555354,-0.027506606
47,1.044424393,-0.023513624,-1.353168556,0.020330922,-1.740587738,-0.023513624
48,0.96753894,-0.02481127,-1.249683589,0.018491633,-1.628811181,-0.02481127
49,1.256179548,-0.025392056,-1.31639405,0.018641105,-1.675658313,-0.025392056
50,1.192200009,-0.023822906,-1.233413582,0.019169868,-1.761826918,-0.023822906
51,0.986736794,-0.022762354,-1.192614296,0.020841621,-1.597963258,-0.022762354
52,0.923918422,-0.026327459,-1.19970593,0.018341461,-1.791339042,-0.026327459
53,1.000948799,-0.023242319,-1.263906648,0.019287526,-1.654544564,-0.023242319
54,1.010051066,-0.026149908,-1.139649932,0.017891253,-1.625002922,-0.026149908
55,1.139145293,-0.024488583,-1.395554737,0.018690057,-1.702854802,-0.024488583
56,1.271870203,-0.024081729,-1.183611612,0.019491932,-1.664073039,-0.024081729
57,1.073003711,-0.02621263,-1.336787756,0.019318802,-1.769084207,-0.02621263
58,1.106763524,-0.023631666,-1.296026426,0.020587191,-1.724973718,-0.023631666
59,1.1711757,-0.023478536,-1.532168299,0.021275983,-1.853574857,-0.023478536
60,0.916902564,-0.025555495,-1.444204334,0.019621102,-1.61133669,-0.025555495
61,1.305401024,-0.02514764,-1.166765753,0.017905137,-1.635961834,-0.02514764
62,1.025675499,-0.025159068,-1.398956646,0.018714761,-1.667437542,-0.025159068
63,1.15329933,-0.02301112,-1.221483792,0.019478026,-1.656069528,-0.02301112
