DIDE_CODE,prop_gamb_ss,prop_arab,prop_fun,seasonal_a0,seasonal_a1,seasonal_b1,seasonal_a2,seasonal_b2,seasonal_a3,seasonal_b3,itn_cov1,itn_cov2,itn_cov3,itn_cov4,itn_cov5,itn_cov6,itn_cov7,itn_cov8,itn_cov9,itn_cov10,itn_cov11,itn_cov12,itn_cov13,itn_cov14,itn_cov15,itn_cov16,itn_cov17,itn_cov18,itn_cov19,itn_cov20,irs_cov1,irs_cov2,irs_cov3,irs_cov4,irs_cov5,irs_cov6,irs_cov7,irs_cov8,irs_cov9,irs_cov10,irs_cov11,irs_cov12,irs_cov13,irs_cov14,irs_cov15,irs_cov16,irs_cov17,irs_cov18,irs_cov19,irs_cov20,prev,prev_years,prev_age0,prev_age1,drug_cov_0_0,drug_cov_1_0,ppu,ppr,fpr,fpu,gamb_ss_Q0,irs_dif_gamb_ss,gamb_ss_Q_in,gamb_ss_Q_bed,arab_Q0,irs_dif_arab,arab_Q_in,arab_Q_bed,fun_Q0,irs_dif_fun,fun_Q_in,fun_Q_bed,draw,total_M
21,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.337658677,0.341717354,0.419653098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.659041104,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,182.8896504
22,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.333343302,0.333086603,0.403751017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67466831,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,160.8520355
23,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.33355218,0.33350436,0.399360781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67346889,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,167.6595253
24,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.336946382,0.340292765,0.40199083,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.683538664,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,165.9289066
25,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.357199371,0.380798743,0.364065438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693080995,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,168.48518
26,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.338096745,0.34259349,0.383117545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.695872841,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,153.6826573
27,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.346352952,0.359105904,0.383352913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.702353859,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,176.3596031
28,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.356999905,0.38039981,0.393247806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65794205,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,129.3705134
29,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.346531241,0.359462483,0.373213954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.699657215,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,138.6007519
30,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.356017235,0.378434469,0.386420644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665881248,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,143.0374507
31,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.349802601,0.366005203,0.401806084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.662349767,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,132.0652712
32,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.339194599,0.344789199,0.410836277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672072544,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,134.1008873
33,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.358794789,0.383989579,0.371149153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669744917,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,154.5120843
34,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.350085183,0.366570366,0.355204798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666339257,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,170.9317611
35,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.348020226,0.362440451,0.385960996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688704749,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,129.9331468
36,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.361500255,0.389400509,0.390608124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.682956947,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,147.5966968
37,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.344532886,0.355465772,0.385722892,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63984759,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,167.3246939
38,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.343265512,0.352931023,0.418777545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686013398,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,164.0339664
39,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.336490949,0.339381899,0.414223442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679019638,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,179.211673
40,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.341165703,0.348731406,0.395834835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.704254941,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,162.341547
41,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.340858441,0.348116882,0.364780221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643495023,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,154.1205182
42,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.340635303,0.347670607,0.392034174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68396004,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,155.1258033
43,0.916,0.046,0.038,0.2846,0.1479,0.1269,-0.0998,-0.0327,0.021,-0.0562,0,0,0,0.0174,0.0205,0.0585,0.1645,0.1908,0.2278,0.2655,0.3434,0.4979,0.6379,0.6296,0.7382,0.4745,0.3336,0.343667855,0.35373571,0.406107201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.672104685,3,0,14,0.1309,0.1632,0.4873,0.2495,0.4864,0.3547,0.92,0.813,0.9,0.85,0.71,0.422,0.86,0.8,0.94,0.813,0.87,0.78,0,170.3534094
