,PI,Intervention,prev_obs,prev_obs_max,prev_obs_min,prev_pred_1,prev_pred_1_max,prev_pred_1_min,prev_pred_2,prev_pred_2_max,prev_pred_2_min,prev_pred_3,prev_pred_3_max,prev_pred_3_min,prev_pred_4,prev_pred_4_max,prev_pred_4_min,prev_pred_5,prev_pred_5_max,prev_pred_5_min,prev_pred_6,prev_pred_6_max,prev_pred_6_min,intvn_colour,study_order,study_colour,study_symbol,time_months,location
77,West,ITN_IRS,0.134,0.234,0.073,0.1553465,0.177638875,0.13180755,0.160639,0.184762775,0.13927985,0.1498715,0.172574625,0.12706445,0.1326675,0.156437525,0.108578725,0.14288,0.1668285,0.11927195,0.1625075,0.188060475,0.1387695,aquamarine3,9,gold2,9,19,East
78,Chaccour,ITN,0.43,0.43,0.43,0.40197,0.4382458,0.31597305,0.4004955,0.438635925,0.32401735,0.40147,0.4395423,0.33336115,0.401834,0.44023955,0.32289285,0.40068,0.4387456,0.32177695,0.401169,0.4398086,0.3179947,darkred,10,grey,10,17,East
79,Chaccour,ITN_IRS,0.34,0.34,0.34,0.22929,0.2812552,0.1477702,0.228273,0.282525825,0.1398031,0.2303,0.280115425,0.149024925,0.227498,0.282562525,0.151734825,0.229518,0.281319,0.149127575,0.229293,0.2864841,0.140551,aquamarine3,10,grey,10,17,East
80,Staedke,ITN,0.145,0.145,0.145,0.1956055,0.23210585,0.15522735,0.214927,0.2530867,0.173521425,0.167772,0.200189725,0.13243565,0.143113,0.1711612,0.1125424,0.175646,0.21115255,0.138665175,0.137061,0.163159025,0.108553625,darkred,11,aquamarine1,11,12,East
81,Staedke,ITN,0.13,0.13,0.13,0.21145,0.2508242,0.16723555,0.2321115,0.2724034,0.189742875,0.184561,0.222171125,0.1437601,0.1189085,0.14746955,0.090009983,0.1753335,0.215398,0.134816275,0.112789,0.140222,0.086218695,darkred,11,aquamarine1,11,18,East
82,Staedke,ITN,0.14,0.14,0.14,0.2340955,0.27233345,0.188496425,0.246656,0.286320975,0.20218925,0.2171405,0.255847625,0.174241525,0.1379575,0.1722284,0.10180455,0.197842,0.239898475,0.152948775,0.13246,0.165916825,0.099050588,darkred,11,aquamarine1,11,24,East
83,Staedke,PBO_ITN,0.107,0.107,0.107,0.147499,0.176092,0.11707175,0.186976,0.222143275,0.149212725,0.1520835,0.181759825,0.12059765,0.118956,0.1437569,0.094212218,0.1195975,0.14302225,0.09427566,0.131305,0.157409075,0.1022864,blue,11,aquamarine1,11,12,East
84,Staedke,PBO_ITN,0.106,0.106,0.106,0.153416,0.187362475,0.118908725,0.198559,0.23428395,0.159082825,0.157776,0.1903794,0.122240675,0.07651515,0.097751425,0.05671982,0.07712785,0.096834193,0.057033913,0.1087765,0.13933555,0.079852535,blue,11,aquamarine1,11,18,East
85,Staedke,PBO_ITN,0.118,0.118,0.118,0.195144,0.233165975,0.152815725,0.2228695,0.260980575,0.1798151,0.19434,0.230800525,0.1529031,0.08576955,0.11493395,0.059181203,0.0864583,0.11366595,0.05849486,0.1395075,0.1782572,0.10099575,blue,11,aquamarine1,11,24,East
86,Nevill,None,0.392,0.392,0.392,0.40197,0.4382458,0.31597305,0.4004955,0.438635925,0.32401735,0.40147,0.4395423,0.33336115,0.401834,0.44023955,0.32289285,0.40068,0.4387456,0.32177695,0.401169,0.4398086,0.3179947,grey,12,black,12,20,East
87,Nevill,None,0.254,0.254,0.254,0.352417,0.38118385,0.28359015,0.351882,0.383204575,0.2892314,0.352103,0.3842608,0.2970225,0.352111,0.3827539,0.2889719,0.35156,0.3826661,0.2883631,0.351931,0.3829602,0.28316475,grey,12,black,12,24,East
88,Nevill,None,0.115,0.115,0.115,0.26225,0.2913139,0.20114335,0.2614555,0.2921851,0.205489225,0.262413,0.293207,0.21369825,0.262244,0.294086,0.2061185,0.261395,0.2922448,0.2052869,0.261455,0.29320365,0.2007174,grey,12,black,12,27,East
89,Nevill,ITN,0.168,0.168,0.168,0.22929,0.2812552,0.1477702,0.228273,0.282525825,0.1398031,0.2303,0.280115425,0.149024925,0.227498,0.282562525,0.151734825,0.229518,0.281319,0.149127575,0.229293,0.2864841,0.140551,darkred,12,black,12,20,East
90,Nevill,ITN,0.12,0.12,0.12,0.2008185,0.2443126,0.1274831,0.2002015,0.2454318,0.121661775,0.201584,0.243497975,0.129180525,0.1996585,0.24505315,0.1309212,0.201001,0.243715625,0.12847045,0.201082,0.248401275,0.1230124,darkred,12,black,12,24,East
91,Nevill,ITN,0.078,0.078,0.078,0.1469435,0.18195785,0.09010202,0.146031,0.183855275,0.0856992,0.147118,0.180872525,0.091578293,0.1457495,0.182682925,0.093017075,0.147004,0.1814101,0.090851075,0.1467465,0.18508075,0.087592693,darkred,12,black,12,27,East
92,Bradley,ITN_IRS,0.168,0.247,0.111,0.156211,0.182078525,0.128974825,0.1189825,0.14938225,0.087243778,0.1582135,0.1819323,0.129062625,0.157302,0.1801456,0.1285389,0.157938,0.18281425,0.12903705,0.157524,0.183152175,0.13030765,aquamarine3,13,pink,13,3,West
93,Bradley,ITN_IRS,0.232,0.323,0.16,0.141859,0.166129675,0.11454125,0.1416795,0.1669364,0.115394675,0.1411335,0.164422275,0.117275425,0.1414555,0.1636434,0.11545565,0.1416785,0.1629755,0.11621635,0.1409505,0.165579025,0.114732625,aquamarine3,13,pink,13,3,West
