PI,Intervention,time0_measured_mean,time0_measured_min,time0_measured_max,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,intvn_colour,study_order,study_colour,study_symbol,time_months,location,Intervention,country,reps
Marbiah,ITN,0.61,0.61,0.61,0.43442623,0.43442623,0.43442623,0.341313934,0.320058893,0.362487295,0.318494262,0.296857336,0.341849016,0.327363934,0.307885328,0.349672951,0.306440164,0.285558279,0.329759713,0.340344262,0.319032459,0.364158525,0.330645082,0.309355533,0.353923033,darkred,7,darkgreen,6,15,West,CTN,Sierre Leone,18
Philips-Howard,ITN,0.75,0.75,0.75,0.566666667,0.566666667,0.566666667,0.650546,0.610248333,0.699757267,0.524704667,0.485918467,0.579065933,0.571228667,0.533277,0.619226133,0.46176,0.4269719,0.514206533,0.647564,0.606273067,0.6914966,0.585409333,0.5473384,0.636219233,darkred,8,darkblue,7,22,East,CTN,Kenya,19
Philips-Howard,ITN,0.75,0.75,0.075,0.549333333,0.549333333,0.549333333,0.705158667,0.664694067,0.7541635,0.576966667,0.5378254,0.625643367,0.623366,0.583105333,0.672665167,0.514536,0.476403033,0.566655167,0.701074667,0.663495367,0.745091833,0.641725333,0.604107367,0.6929326,darkred,8,darkblue,7,40,East,CTN,Kenya,19
Nevill,ITN,0.251,0.251,0.251,0.330677291,0.330677291,0.330677291,0.086494024,-0.120538645,0.411274104,0.093633466,-0.125747112,0.395478785,0.085585657,-0.120792829,0.405866235,0.086482072,-0.141370916,0.440035857,0.090545817,-0.125600896,0.443015538,0.08247012,-0.115997709,0.406275199,darkred,13,black,12,20,East,CTN,Kenya,20
Nevill,ITN,0.251,0.251,0.251,0.521912351,0.521912351,0.521912351,0.199926295,0.026643028,0.492099203,0.204547809,0.023692629,0.478401594,0.199199203,0.029021414,0.488165538,0.198876494,0.010353486,0.509910757,0.202384462,0.022184064,0.515291733,0.196876494,0.029888546,0.485336554,darkred,13,black,12,24,East,CTN,Kenya,20
Nevill,ITN,0.251,0.251,0.251,0.689243028,0.689243028,0.689243028,0.414567729,0.275068327,0.641027809,0.419324701,0.272179582,0.629414044,0.414326693,0.277250598,0.638043526,0.41535259,0.262626494,0.651025127,0.418203187,0.267508865,0.658568924,0.41387251,0.279392331,0.635146243,darkred,13,black,12,27,East,CTN,Kenya,20
Curtis,IRS,0.884,0.884,0.884,0.13800905,0.13800905,0.13800905,0.277821833,0.29753552,0.259722709,0.277790724,0.296512161,0.25856612,0.278299208,0.297541883,0.259325452,0.278145928,0.295828988,0.259225311,0.278778281,0.296326584,0.259668835,0.278743778,0.297371606,0.259302602,black,2,darkred,2,2,East,CTN + pyr-IRS,Tanzania,21
Curtis,IRS,0.884,0.884,0.884,0.093891403,0.093891403,0.093891403,0.308997738,0.345098784,0.276337868,0.309996041,0.342316968,0.273175396,0.30981957,0.345530515,0.274592704,0.309071833,0.343875679,0.275045701,0.310565611,0.344004044,0.276155373,0.309648756,0.344899576,0.274786878,black,2,darkred,2,5,East,CTN + pyr-IRS,Tanzania,21
Curtis,IRS,0.884,0.884,0.884,0.174208145,0.174208145,0.174208145,0.455831448,0.489997455,0.423619429,0.45566629,0.486865271,0.422635888,0.456257919,0.48973866,0.424690894,0.455048643,0.48868405,0.424600679,0.456846719,0.489439791,0.424510351,0.456489253,0.490566346,0.425331137,black,2,darkred,2,8,East,CTN + pyr-IRS,Tanzania,21
Curtis,IRS,0.884,0.884,0.884,0.279411765,0.279411765,0.279411765,0.585360294,0.61825871,0.553905317,0.585514706,0.618641431,0.553568863,0.586238688,0.620254412,0.554379525,0.585848982,0.619469089,0.550801527,0.586751697,0.619232042,0.551840696,0.585904977,0.618454977,0.551889932,black,2,darkred,2,11,East,CTN + pyr-IRS,Tanzania,21
Kafy,ITN,0.07,0.07,0.07,0.285714286,0.714285714,-0.428571429,0.597385,0.461869386,0.718102386,0.600756429,0.467726386,0.7173311,0.605647857,0.464533143,0.719882571,0.598996429,0.4661535,0.723404529,0.600108571,0.4638031,0.715713814,0.602335,0.468174886,0.717873571,darkred,5,blue,5,21,,ITN,Sudan,23
Kafy,ITN,0.07,0.07,0.07,0.285714286,0.571428571,-0.285714286,0.700771429,0.579204143,0.806491243,0.70422,0.569259886,0.813704386,0.703634286,0.5734551,0.816911,0.701766429,0.553581743,0.8179271,0.697681429,0.574461957,0.814172429,0.702817143,0.5754945,0.804442457,darkred,5,blue,5,33,,ITN,Sudan,23
Protopopoff,ITN,0.68,0.68,0.68,0.183823529,0.183823529,0.183823529,-0.111877941,-0.141227831,-0.066401765,0.069147794,0.016009081,0.135166544,-0.059023529,-0.101531581,-0.00034739,0.123247794,0.06553125,0.187800404,-0.138238971,-0.162783088,-0.099170772,-0.0400875,-0.080387463,0.014455221,darkred,9,green,8,4,East,ITN,Tanzania,24
Protopopoff,ITN,0.68,0.68,0.68,0.186764706,0.186764706,0.186764706,0.049114706,0.009924779,0.106789338,0.269030882,0.210365588,0.339837794,0.128619853,0.077474081,0.194216985,0.310451471,0.248415184,0.379820478,0.019351471,-0.020006434,0.074436801,0.098098529,0.052991875,0.15895011,darkred,9,green,8,9,East,ITN,Tanzania,24
Protopopoff,ITN,0.68,0.68,0.68,0.220588235,0.220588235,0.220588235,-0.155477941,-0.178452941,-0.118803456,-0.070236029,-0.108360882,-0.014221287,-0.127633088,-0.155725441,-0.086982978,-0.054186765,-0.093702757,0.004893713,-0.163079412,-0.183926949,-0.129351213,-0.145514706,-0.169664743,-0.109689926,darkred,9,green,8,16,East,ITN,Tanzania,24
Protopopoff,ITN,0.68,0.68,0.68,0,0,0,-0.001061029,-0.035177206,0.046200294,0.101517647,0.053514044,0.161293162,0.036519118,-0.004805331,0.088635846,0.111581618,0.064064301,0.17397739,-0.006529412,-0.042412463,0.045062574,0.006134559,-0.030145662,0.057480037,darkred,9,green,8,21,East,ITN,Tanzania,24
Protopopoff,ITN,0.68,0.68,0.68,-0.216176471,-0.216176471,-0.216176471,-0.170536765,-0.189555919,-0.138248971,-0.129869853,-0.157376581,-0.088879926,-0.156769853,-0.178662721,-0.121135515,-0.124969853,-0.152776912,-0.082705478,-0.173013235,-0.193134375,-0.141952353,-0.166969853,-0.188537059,-0.135129044,darkred,9,green,8,28,East,ITN,Tanzania,24
