ID,PI,control_arm_intervention,Intervention,Month,Obs_mean_eff,eff_obs_min,eff_obs_max,Pred_1_eff,Pred_1_eff_min,Pred_1_eff_max,Pred_2_eff,Pred_2_eff_min,Pred_2_eff_max,Pred_3_eff,Pred_3_eff_min,Pred_3_eff_max,Pred_4_eff,Pred_4_eff_min,Pred_4_eff_max,Pred_5_eff,Pred_5_eff_min,Pred_5_eff_max,Pred_6_eff,Pred_6_eff_min,Pred_6_eff_max,study,study_col,intervention_symbol,col_rel_prev_month,study_symb,reps,arm,intn_col,location,new_order,country
29,Protopopoff,ITN,ITN + op-IRS,9,0.522603978,0.522603978,0.522603978,0.536848202,0.495154886,0.577108708,0.55527464,0.518080195,0.591730735,0.474147049,0.41955985,0.52872263,0.455142455,0.402701696,0.504543682,0.522426773,0.479261619,0.564464628,0.376869556,0.3081276,0.436763316,Protopopoff,green,8,lightgreen,8,14,2,aquamarine3,East,26,Tanzania
30,Protopopoff,ITN,ITN + op-IRS,16,0.247169811,0.247169811,0.247169811,0.080301329,0.047615346,0.119761835,0.081375116,0.051701768,0.118125716,0.077300986,0.044168848,0.116160705,0.10249142,0.053030284,0.162389861,0.089031117,0.04954773,0.136018245,0.095831864,0.044306524,0.154573984,Protopopoff,green,8,darkgreen,8,14,2,aquamarine3,East,27,Tanzania
31,Protopopoff,ITN,ITN + op-IRS,21,0.189705882,0.189705882,0.189705882,0.034279364,-0.005648013,0.080989741,0.03487854,-0.003070503,0.078871549,0.034037881,-0.005762977,0.081084406,0.034136134,-0.020366421,0.098713024,0.034000959,-0.012535166,0.083811177,0.033151712,-0.025829052,0.095303817,Protopopoff,green,8,darkblue,8,14,2,aquamarine3,East,28,Tanzania
43,Chaccour,ITN,ITN + op-IRS,17,0.209302326,0.209302326,0.209302326,0.429584297,0.300307983,0.632385004,0.430023558,0.294559302,0.650924667,0.426358134,0.302275575,0.628801841,0.433850794,0.296817778,0.62239426,0.427178796,0.297896077,0.627813779,0.42843789,0.285876775,0.649646408,Chaccour,grey,18,darkgreen,10,15,1,aquamarine3,East,34,Mozambique
22,Protopopoff,ITN,PBO-ITN,4,0.174774775,0.174774775,0.174774775,0.192832224,0.124693484,0.288359415,0.178997083,0.111856807,0.267843691,0.129084009,0.059015979,0.224113137,0.267731075,0.19455334,0.357065582,0.270331905,0.194226776,0.362698057,0.208502427,0.126886803,0.307292669,Protopopoff,green,8,grey,8,16,1,blue,East,35,Tanzania
23,Protopopoff,ITN,PBO-ITN,9,0.43761302,0.43761302,0.43761302,0.201304531,0.120405388,0.314978137,0.197721172,0.120610844,0.300298434,0.154131903,0.070537509,0.259901086,0.353312838,0.252540467,0.470015086,0.307624425,0.204264426,0.426040466,0.289868412,0.176183716,0.414853033,Protopopoff,green,8,lightgreen,8,16,1,blue,East,36,Tanzania
24,Protopopoff,ITN,PBO-ITN,16,0.343396226,0.343396226,0.343396226,0.064142231,0.022478645,0.129502395,0.063797342,0.02225548,0.12733863,0.060257367,0.017517983,0.125415596,0.151421185,0.074734281,0.263859446,0.099888334,0.042044275,0.185692157,0.133475784,0.054203268,0.243839459,Protopopoff,green,8,darkgreen,8,16,1,blue,East,37,Tanzania
25,Protopopoff,ITN,PBO-ITN,21,0.325,0.325,0.325,0.085581027,0.026288844,0.170325991,0.08546771,0.026045774,0.16942128,0.086959555,0.026472525,0.176663642,0.155888746,0.070079932,0.274382478,0.116471065,0.042954642,0.213011383,0.143602943,0.058047555,0.25488842,Protopopoff,green,8,darkblue,8,16,1,blue,East,38,Tanzania
44,Staedke,ITN,PBO-ITN,12,0.262068966,0.262068966,0.262068966,0.243434554,0.096063694,0.39903343,0.129430064,-0.035168427,0.304681621,0.092006802,-0.08788706,0.278186899,0.165019721,-0.005689,0.340913787,0.322063696,0.186855828,0.464001556,0.043607158,-0.151386041,0.251814845,Staedke,aquamarine1,8,lightgreen,11,17,1,blue,East,39,Uganda
45,Staedke,ITN,PBO-ITN,18,0.184615385,0.184615385,0.184615385,0.270942204,0.11001968,0.435178121,0.146428216,-0.012010205,0.312827693,0.142621241,-0.037644451,0.33373906,0.352449672,0.175743771,0.52172907,0.561344239,0.447101845,0.674351134,0.035626232,-0.237902998,0.290563733,Staedke,aquamarine1,8,darkgreen,11,17,1,blue,East,40,Uganda
