"","PI","Intervention","MONTH_prev_observed","Obs_eff_mean","Obs_eff_min","Obs_eff_max","Pred_3_eff","Pred_3_eff_min","Pred_3_eff_max"
"33","West","ITN_IRS",11,0.408695652173913,0.064340877971493,0.591131816363092,0.437968356351953,0.361834499176638,0.51584665558127
"34","West","ITN_IRS",15,0.576666666666667,0.317563371535031,0.797436910743522,0.594725625246994,0.529574059306724,0.657047154632191
"35","West","ITN_IRS",19,0.441666666666667,0.0249022069580916,0.693111427000218,0.406995444971311,0.307600361082001,0.50497753613414
"36","Chaccour","ITN_IRS",17,0.209302325581395,0.209302325581395,0.209302325581395,0.427178796046721,0.297896076669662,0.627813779075571
"37","Staedke","PBO_ITN",12,0.262068965517241,0.262068965517241,0.262068965517241,0.32206369571589,0.186855828474785,0.464001556081709
"38","Staedke","PBO_ITN",18,0.184615384615385,0.184615384615385,0.184615384615385,0.561344238946173,0.447101845117635,0.674351133903737
"39","Staedke","PBO_ITN",24,0.157142857142857,0.157142857142857,0.157142857142857,0.563380143255046,0.424504036138971,0.703837817423635
"40","Nevill","ITN",20,0.571428571428571,0.571428571428571,0.571428571428571,0.427178796046721,0.297896076669662,0.627813779075571
"41","Nevill","ITN",24,0.52755905511811,0.52755905511811,0.52755905511811,0.428259756513824,0.306759514734327,0.634570343611332
"42","Nevill","ITN",27,0.321739130434783,0.321739130434783,0.321739130434783,0.437617398955604,0.305992463513074,0.652437594445188
"43","Bradley","IRS",3,0.0489130434782609,-0.320652173913043,0.331521739130435,-0.0314174736962745,-0.189337866153091,0.147488470708998
"44","Bradley","IRS",3,0.275862068965517,-0.064655172413793,0.521551724137931,-0.11476335506093,-0.290345747590496,0.0892263116845534
